From	To
Q96C86	DCPS
Q96CB8	INTS12
Q96CD0	FBXL8
Q96CD2	PPCDC
Q96CM8	ACSF2
Q96CN4	EVI5L
Q96CN7	ISOC1
Q96CN9	GCC1
Q96CS2	HAUS1
Q96CS3	FAF2
Q96CT7	CCDC124
Q96CV9	OPTN
Q96CW5	TUBGCP3
Q96CX2	KCTD12
Q96D31	ORAI1
Q96D70	R3HDM4
Q96D71	REPS1
Q96D96	HVCN1
Q96DE5	ANAPC16
Q96DI7	SNRNP40
Q96DM3	RMC1
Q96DT0	LGALS12
Q96DU3	SLAMF6
Q96DV4	MRPL38
Q96DZ1	ERLEC1
Q96DZ9	CMTM5
Q96E11	MRRF
Q96E17	RAB3C
Q96E39	RBMXL1
Q96EC8	YIPF6
Q96EP0	RNF31
Q96EP5	DAZAP1
Q96ER9	CCDC51
Q96ET8	TVP23C
Q96EU6	RRP36
Q96EV8	DTNBP1
Q96EX1	SMIM12
Q96EY7	PTCD3
Q96EY8	MMAB
Q96F07	CYFIP2
Q96F24	NRBF2
Q96F86	EDC3
Q96FJ2	DYNLL2
Q96FN4	CPNE2
Q96FS4	SIPA1
Q96FZ2	HMCES
Q96G03	PGM2
Q96GA3	LTV1
Q96GC5	MRPL48
Q96GC6	ZNF274
Q96GD0	PDXP
Q96GF1	RNF185
Q96GG9	DCUN1D1
Q96GM8	TOE1
Q96GQ7	DDX27
Q96GS4	BORCS6
Q96GX9	APIP
Q96H20	SNF8
Q96H43	ZFYVE26
Q96H79	ZC3HAV1L
Q96HC4	PDLIM5
Q96HD1	CRELD1
Q96HE7	ERO1A
Q96HN2	AHCYL2
Q96HS1	PGAM5
Q96HW7	INTS4
Q96HY6	DDRGK1
Q96I15	SCLY
Q96I24	FUBP3
Q96I25	RBM17
Q96I59	NARS2
Q96I99	SUCLG2
Q96II5	ARAF
Q96II8	LRCH3
Q96IJ6	GMPPA
Q96IU4	ABHD14B
Q96IV0	NGLY1
Q96IY1	NSL1
Q96J88	EPSTI1
Q96JB5	CDK5RAP3
Q96JG6	VPS50
Q96JH7	VCPIP1
Q96JJ3	ELMO2
Q96JJ7	TMX3
Q96JM3	CHAMP1
Q96JP5	ZFP91
Q96JW4	SLC41A2
Q96JY6	PDLIM2
Q96K17	BTF3L4
Q96K19	RNF170
Q96K21	ZFYVE19
Q96K76	USP47
Q96KG9	SCYL1
Q96KK3	KCNS1
Q96KN7	RPGRIP1
Q96KP1	EXOC2
Q96KP4	CNDP2
Q96KR1	ZFR
Q96L03	SPATA17
Q96L73	NSD1
Q96L91	EP400
Q96L92	SNX27
Q96LJ7	DHRS1
Q96LL9	DNAJC30
Q96LT7	C9orf72
Q96LW7	CARD19
Q96M27	PRRC1
Q96ME7	ZNF512
Q96MG7	NSMCE3
Q96MK2	RIPOR3
Q96MT8	CEP63
Q96MW5	COG8
Q96N16	JAKMIP1
Q96N67	DOCK7
Q96NA2	RILP
Q96NB2	SFXN2
Q96NB3	ZNF830
Q96NL8	CFAP418
Q96NY7	CLIC6
Q96P31	FCRL3
Q96P48	ARAP1
Q96P70	IPO9
Q96PC5	MIA2
Q96PD5	PGLYRP2
Q96PE3	INPP4A
Q96PE7	MCEE
Q96PK6	RBM14
Q96PM5	RCHY1
Q96PP8	GBP5
Q96PP9	GBP4
Q96PU4	UHRF2
Q96PU8	QKI
Q96PZ2	FAM111A
Q96Q05	TRAPPC9
Q96Q11	TRNT1
Q96Q15	SMG1
Q96QC0	PPP1R10
Q96QD9	FYTTD1
Q96QE2	SLC2A13
Q96QG7	MTMR9
Q96QH2	PRAM1
Q96QK1	VPS35
Q96QR8	PURB
Q96QS1	TSPAN32
Q96QT4	TRPM7
Q96QU8	XPO6
Q96RF0	SNX18
Q96RG2	PASK
Q96RI0	F2RL3
Q96RL1	UIMC1
Q96RL7	VPS13A
Q96RN5	MED15
Q96RP9	GFM1
Q96RQ3	MCCC1
Q96RS6	NUDCD1
Q96RT1	ERBIN
Q96RU3	FNBP1
Q96S15	WDR24
Q96S19	METTL26
Q96S44	TP53RK
Q96S55	WRNIP1
Q96S97	MYADM
Q96S99	PLEKHF1
Q96SB8	SMC6
Q96SI9	STRBP
Q96SK2	TMEM209
Q96ST3	SIN3A
Q96SU4	OSBPL9
Q96SW2	CRBN
Q96SZ5	ADO
Q96T23	RSF1
Q96T37	RBM15
Q96T51	RUFY1
Q96T58	SPEN
Q96T60	PNKP
Q96T76	MMS19
Q96TA1	NIBAN2
Q96TC7	RMDN3
Q99426	TBCB
Q99436	PSMB7
Q99442	SEC62
Q99447	PCYT2
Q99459	CDC5L
Q99470	SDF2
Q99471	PFDN5
Q99487	PAFAH2
Q99497	PARK7
Q99523	SORT1
Q99536	VAT1
Q99538	LGMN
Q99543	DNAJC2
Q99547	MPHOSPH6
Q99550	MPHOSPH9
Q99567	NUP88
Q99570	PIK3R4
Q99571	P2RX4
Q99575	POP1
Q99576	TSC22D3
Q99590	SCAF11
Q99598	TSNAX
Q99614	TTC1
Q99615	DNAJC7
Q99623	PHB2
Q99627	COPS8
Q99643	SDHC
Q99653	CHP1
Q99674	CGREF1
Q99683	MAP3K5
Q99698	LYST
Q99700	ATXN2
Q99704	DOK1
Q99714	HSD17B10
Q99720	SIGMAR1
Q99729	HNRNPAB
Q99733	NAP1L4
Q99735	MGST2
Q99747	NAPG
Q99816	TSG101
Q99832	CCT7
Q99856	ARID3A
Q99943	AGPAT1
Q99952	PTPN18
Q99959	PKP2
Q99961	SH3GL1
Q99969	RARRES2
Q99986	VRK1
Q9BPU6	DPYSL5
Q9BPW8	NIPSNAP1
Q9BPX5	ARPC5L
Q9BPX7	C7orf25
Q9BPY8	HOPX
Q9BQ61	TRIR
Q9BQA1	WDR77
Q9BQA9	CYBC1
Q9BQC3	DPH2
Q9BQG0	MYBBP1A
Q9BQG2	NUDT12
Q9BQS8	FYCO1
Q9BR76	CORO1B
Q9BRA2	TXNDC17
Q9BRD0	BUD13
Q9BRF8	CPPED1
Q9BRG1	VPS25
Q9BRP1	PDCD2L
Q9BRP4	PAAF1
Q9BRP8	PYM1
Q9BRR6	ADPGK
Q9BRU9	UTP23
Q9BRV8	SIKE1
Q9BRX2	PELO
Q9BRZ2	TRIM56
Q9BS26	ERP44
Q9BSC4	NOL10
Q9BSF4	TIMM29
Q9BSH4	TACO1
Q9BSJ2	TUBGCP2
Q9BSJ8	ESYT1
Q9BSU1	PHAF1
Q9BSY4	CHCHD5
Q9BT09	CNPY3
Q9BT22	ALG1
Q9BT23	LIMD2
Q9BT25	HAUS8
Q9BT40	INPP5K
Q9BT78	COPS4
Q9BTC0	DIDO1
Q9BTD8	RBM42
Q9BTE1	DCTN5
Q9BTE3	MCMBP
Q9BTF0	THUMPD2
Q9BTK6	PAGR1
Q9BTL3	RAMAC
Q9BTT0	ANP32E
Q9BTU6	PI4K2A
Q9BTV4	TMEM43
Q9BTY2	FUCA2
Q9BTY7	HGH1
Q9BTZ2	DHRS4
Q9BU02	THTPA
Q9BUH6	PAXX
Q9BUJ2	HNRNPUL1
Q9BUL8	PDCD10
Q9BUP3	HTATIP2
Q9BUQ8	DDX23
Q9BUR5	APOO
Q9BV20	MRI1
Q9BV38	WDR18
Q9BV40	VAMP8
Q9BV68	RNF126
Q9BV79	MECR
Q9BV81	EMC6
Q9BV86	NTMT1
Q9BVC5	C2orf49
Q9BVC6	TMEM109
Q9BVG4	PBDC1
Q9BVJ6	UTP14A
Q9BVJ7	DUSP23
Q9BVK6	TMED9
Q9BVL2	NUP58
Q9BVM4	GGACT
Q9BVT8	TMUB1
Q9BVV7	TIMM21
Q9BW04	SARG
Q9BW27	NUP85
Q9BW83	IFT27
Q9BW92	TARS2
Q9BWD1	ACAT2
Q9BWF3	RBM4
Q9BWH2	FUNDC2
Q9BWH6	RPAP1
Q9BWJ5	SF3B5
Q9BWM7	SFXN3
Q9BWP8	COLEC11
Q9BWS9	CHID1
Q9BWU0	SLC4A1AP
Q9BWU1	CDK19
Q9BWW4	SSBP3
Q9BX10	GTPBP2
Q9BX59	TAPBPL
Q9BX67	JAM3
Q9BX68	HINT2
Q9BXB4	OSBPL11
Q9BXH1	BBC3
Q9BXI6	TBC1D10A
Q9BXJ9	NAA15
Q9BXP5	SRRT
Q9BXR0	QTRT1
Q9BXS5	AP1M1
Q9BXV9	GON7
Q9BXW7	HDHD5
Q9BY11	PACSIN1
Q9BY32	ITPA
Q9BY44	EIF2A
Q9BYC5	FUT8
Q9BYD1	MRPL13
Q9BYD2	MRPL9
Q9BYI3	HYCC1
Q9BYM8	RBCK1
Q9BYN8	MRPS26
Q9BYV8	CEP41
Q9BYX2	TBC1D2
Q9BZ72	PITPNM2
Q9BZE4	GTPBP4
Q9BZE9	ASPSCR1
Q9BZF1	OSBPL8
Q9BZF9	UACA
Q9BZH6	WDR11
Q9BZI1	IRX2
Q9BZI7	UPF3B
Q9BZK7	TBL1XR1
Q9BZL1	UBL5
Q9BZL4	PPP1R12C
Q9BZQ8	NIBAN1
Q9BZV1	UBXN6
Q9BZZ5	API5
Q9C005	DPY30
Q9C035	TRIM5
Q9C0B0	UNK
Q9C0C9	UBE2O
Q9C0D4	ZNF518B
Q9C0E8	LNPK
Q9C0H2	TTYH3
Q9C0I1	MTMR12
Q9C0J8	WDR33
Q9GIY3	HLA-DRB1
Q9GZL7	WDR12
Q9GZP0	PDGFD
Q9GZP4	PITHD1
Q9GZP8	IMUP
Q9GZR7	DDX24
Q9GZS1	POLR1E
Q9GZT8	NIF3L1
Q9GZU7	CTDSP1
Q9GZZ1	NAA50
Q9GZZ9	UBA5
Q9H008	LHPP
Q9H019	MTFR1L
Q9H061	TMEM126A
Q9H074	PAIP1
Q9H078	CLPB
Q9H089	LSG1
Q9H098	FAM107B
Q9H0A0	NAT10
Q9H0C8	ILKAP
Q9H0D6	XRN2
Q9H0E2	TOLLIP
Q9H0E9	BRD8
Q9H0F6	SHARPIN
Q9H0F7	ARL6
Q9H0J9	PARP12
Q9H0N5	PCBD2
Q9H0P0	NT5C3A
Q9H0R4	HDHD2
Q9H0U4	RAB1B
Q9H0U6	MRPL18
Q9H0W9	C11orf54
Q9H0Z9	RBM38
Q9H171	ZBP1
Q9H1B7	IRF2BPL
Q9H1E3	NUCKS1
Q9H1E5	TMX4
Q9H1I8	ASCC2
Q9H1J1	UPF3A
Q9H1K1	ISCU
Q9H1P3	OSBPL2
Q9H223	EHD4
Q9H257	CARD9
Q9H267	VPS33B
Q9H269	VPS16
Q9H299	SH3BGRL3
Q9H2D6	TRIOBP
Q9H2G2	SLK
Q9H2J4	PDCL3
Q9H2K0	MTIF3
Q9H2K8	TAOK3
Q9H2M9	RAB3GAP2
Q9H2P0	ADNP
Q9H2P9	DPH5
Q9H2U1	DHX36
Q9H2U2	PPA2
Q9H2W6	MRPL46
Q9H2X9	SLC12A5
Q9H305	CDIP1
Q9H307	PNN
Q9H330	TMEM245
Q9H3G5	CPVL
Q9H3H3	C11orf68
Q9H3N1	TMX1
Q9H3P7	ACBD3
Q9H3S1	SEMA4A
Q9H3S4	TPK1
Q9H3S7	PTPN23
Q9H3U1	UNC45A
Q9H3U5	MFSD1
Q9H400	LIME1
Q9H425	C1orf198
Q9H444	CHMP4B
Q9H446	RWDD1
Q9H477	RBKS
Q9H479	FN3K
Q9H4A3	WNK1
Q9H4A4	RNPEP
Q9H4A6	GOLPH3
Q9H4A9	DPEP2
Q9H4B7	TUBB1
Q9H4E7	DEF6
Q9H4G4	GLIPR2
Q9H4L5	OSBPL3
Q9H4M9	EHD1
Q9H4X1	RGCC
Q9H553	ALG2
Q9H5N1	RABEP2
Q9H5X1	CIAO2A
Q9H6F5	CCDC86
Q9H6K4	OPA3
Q9H6Q3	SLA2
Q9H6Q4	CIAO3
Q9H6R4	NOL6
Q9H6S0	YTHDC2
Q9H6T3	RPAP3
Q9H6Y2	WDR55
Q9H6Z4	RANBP3
Q9H773	DCTPP1
Q9H7B2	RPF2
Q9H7B4	SMYD3
Q9H7D0	DOCK5
Q9H7D7	WDR26
Q9H7E9	C8orf33
Q9H7J1	PPP1R3E
Q9H7M9	VSIR
Q9H7N4	SCAF1
Q9H7P6	MVB12B
Q9H7Z6	KAT8
Q9H7Z7	PTGES2
Q9H814	PHAX
Q9H832	UBE2Z
Q9H840	GEMIN7
Q9H845	ACAD9
Q9H875	PRKRIP1
Q9H8E8	KAT14
Q9H8M2	BRD9
Q9H8M5	CNNM2
Q9H8W4	PLEKHF2
Q9H8W5	TRIM45
Q9H8Y8	GORASP2
Q9H910	JPT2
Q9H930	SP140L
Q9H936	SLC25A22
Q9H939	PSTPIP2
Q9H993	ARMT1
Q9H9A6	LRRC40
Q9H9B4	SFXN1
Q9H9F9	ACTR5
Q9H9H4	VPS37B
Q9H9J2	MRPL44
Q9H9Q2	COPS7B
Q9H9Q4	NHEJ1
Q9H9T3	ELP3
Q9H9Y6	POLR1B
Q9HA64	FN3KRP
Q9HA65	TBC1D17
Q9HA77	CARS2
Q9HAB8	PPCS
Q9HAF1	MEAF6
Q9HAT2	SIAE
Q9HAT8	PELI2
Q9HAU5	UPF2
Q9HAV0	GNB4
Q9HAV4	XPO5
Q9HAV7	GRPEL1
Q9HB07	MYG1
Q9HB40	SCPEP1
Q9HB58	SP110
Q9HB71	CACYBP
Q9HBH0	RHOF
Q9HBH5	RDH14
Q9HBI0	PARVG
Q9HBI1	PARVB
Q9HBL0	TNS1
Q9HBL7	PLGRKT
Q9HBR0	SLC38A10
Q9HC16	APOBEC3G
Q9HC35	EML4
Q9HC52	CBX8
Q9HC57	WFDC1
Q9HCC0	MCCC2
Q9HCD5	NCOA5
Q9HCE1	MOV10
Q9HCG7	GBA2
Q9HCM2	PLXNA4
Q9HCN4	GPN1
Q9HCN6	GP6
Q9HCN8	SDF2L1
Q9HCS7	XAB2
Q9HCU5	PREB
Q9HD15	SRA1
Q9HD20	ATP13A1
Q9HD26	GOPC
Q9HD33	MRPL47
Q9HD40	SEPSECS
Q9HD42	CHMP1A
Q9HD45	TM9SF3
Q9HD89	RETN
Q9HDC9	APMAP
Q9NNW7	TXNRD2
Q9NP58	ABCB6
Q9NP61	ARFGAP3
Q9NP66	HMG20A
Q9NP72	RAB18
Q9NP79	VTA1
Q9NPB8	GPCPD1
Q9NPF4	OSGEP
Q9NPH2	ISYNA1
Q9NPH3	IL1RAP
Q9NPJ3	ACOT13
Q9NPP4	NLRC4
Q9NPQ8	RIC8A
Q9NQ50	MRPL40
Q9NQ55	PPAN
Q9NQ75	CASS4
Q9NQC3	RTN4
Q9NQC7	CYLD
Q9NQE9	HINT3
Q9NQG5	RPRD1B
Q9NQL2	RRAGD
Q9NQR4	NIT2
Q9NQS1	AVEN
Q9NQT4	EXOSC5
Q9NQT8	KIF13B
Q9NQW7	XPNPEP1
Q9NQZ5	STARD7
Q9NR09	BIRC6
Q9NR12	PDLIM7
Q9NR19	ACSS2
Q9NR28	DIABLO
Q9NR30	DDX21
Q9NR31	SAR1A
Q9NR45	NANS
Q9NR50	EIF2B3
Q9NRA1	PDGFC
Q9NRA2	SLC17A5
Q9NRA8	EIF4ENIF1
Q9NRC8	SIRT7
Q9NRD1	FBXO6
Q9NRD8	DUOX2
Q9NRF8	CTPS2
Q9NRG1	PRTFDC1
Q9NRK6	ABCB10
Q9NRL2	BAZ1A
Q9NRL3	STRN4
Q9NRN7	AASDHPPT
Q9NRP0	OSTC
Q9NRQ5	SMCO4
Q9NRR5	UBQLN4
Q9NRV9	HEBP1
Q9NRW1	RAB6B
Q9NRW4	DUSP22
Q9NRW7	VPS45
Q9NRX1	PNO1
Q9NRX2	MRPL17
Q9NRX4	PHPT1
Q9NRX5	SERINC1
Q9NRY5	FAM114A2
Q9NRY6	PLSCR3
Q9NS23	RASSF1
Q9NS28	RGS18
Q9NS69	TOMM22
Q9NS93	TM7SF3
Q9NSC5	HOMER3
Q9NSD9	FARSB
Q9NSE4	IARS2
Q9NSK0	KLC4
Q9NSK7	C19orf12
Q9NSU2	TREX1
Q9NT62	ATG3
Q9NTI5	PDS5B
Q9NTJ4	MAN2C1
Q9NTJ5	SACM1L
Q9NTM9	CUTC
Q9NTX5	ECHDC1
Q9NTZ6	RBM12
Q9NU22	MDN1
Q9NU23	LYRM2
Q9NUB1	ACSS1
Q9NUD5	ZCCHC3
Q9NUJ1	ABHD10
Q9NUL5	SHFL
Q9NUP1	BLOC1S4
Q9NUQ8	ABCF3
Q9NUQ9	CYRIB
Q9NUY8	TBC1D23
Q9NV70	EXOC1
Q9NV96	TMEM30A
Q9NVC6	MED17
Q9NVE7	PANK4
Q9NVG8	TBC1D13
Q9NVH1	DNAJC11
Q9NVH2	INTS7
Q9NVI7	ATAD3A
Q9NVJ2	ARL8B
Q9NVK5	FGFR1OP2
Q9NVP1	DDX18
Q9NVS9	PNPO
Q9NVT9	ARMC1
Q9NVV5	AIG1
Q9NVX2	NLE1
Q9NVZ3	NECAP2
Q9NW64	RBM22
Q9NW68	BSDC1
Q9NW82	WDR70
Q9NWB6	ARGLU1
Q9NWH9	SLTM
Q9NWS0	PIH1D1
Q9NWT6	HIF1AN
Q9NWU2	GID8
Q9NWV4	CZIB
Q9NWV8	BABAM1
Q9NWZ3	IRAK4
Q9NWZ5	UCKL1
Q9NX00	TMEM160
Q9NX08	COMMD8
Q9NX14	NDUFB11
Q9NX24	NHP2
Q9NX40	OCIAD1
Q9NX46	ADPRS
Q9NX55	HYPK
Q9NX58	LYAR
Q9NX62	BPNT2
Q9NX76	CMTM6
Q9NXA8	SIRT5
Q9NXE8	CWC25
Q9NXG2	THUMPD1
Q9NXH8	TOR4A
Q9NXH9	TRMT1
Q9NXL6	SIDT1
Q9NXR1	NDE1
Q9NXR7	BABAM2
Q9NXV6	CDKN2AIP
Q9NXW2	DNAJB12
Q9NY12	GAR1
Q9NY15	STAB1
Q9NY27	PPP4R2
Q9NY93	DDX56
Q9NY97	B3GNT2
Q9NYB0	TERF2IP
Q9NYF8	BCLAF1
Q9NYJ1	COA4
Q9NYJ8	TAB2
Q9NYL4	FKBP11
Q9NYL9	TMOD3
Q9NYU2	UGGT1
Q9NZ01	TECR
Q9NZ08	ERAP1
Q9NZ32	ACTR10
Q9NZ45	CISD1
Q9NZ52	GGA3
Q9NZ63	C9orf78
Q9NZB2	FAM120A
Q9NZD2	GLTP
Q9NZD4	AHSP
Q9NZK5	ADA2
Q9NZL4	HSPBP1
Q9NZL9	MAT2B
Q9NZM1	MYOF
Q9NZM3	ITSN2
Q9NZN3	EHD3
Q9NZN5	ARHGEF12
Q9NZN8	CNOT2
Q9NZQ3	NCKIPSD
Q9NZR1	TMOD2
Q9NZT2	OGFR
Q9NZV6	MSRB1
Q9NZZ3	CHMP5
Q9P000	COMMD9
Q9P013	CWC15
Q9P016	THYN1
Q9P021	CRIPT
Q9P031	CCDC59
Q9P032	NDUFAF4
Q9P0J1	PDP1
Q9P0J7	KCMF1
Q9P0L0	VAPA
Q9P0M9	MRPL27
Q9P0R6	GSKIP
Q9P107	GMIP
Q9P126	CLEC1B
Q9P1F3	ABRACL
Q9P1W8	SIRPG
Q9P1Y6	PHRF1
Q9P1Z2	CALCOCO1
Q9P219	CCDC88C
Q9P253	VPS18
Q9P258	RCC2
Q9P260	RELCH
Q9P265	DIP2B
Q9P270	SLAIN2
Q9P2A4	ABI3
Q9P2D3	HEATR5B
Q9P2E5	CHPF2
Q9P2E9	RRBP1
Q9P2J5	LARS1
Q9P2K3	RCOR3
Q9P2N5	RBM27
Q9P2N6	KANSL3
Q9P2P6	STARD9
Q9P2R3	ANKFY1
Q9P2R7	SUCLA2
Q9P2X0	DPM3
Q9P2Y5	UVRAG
Q9UBB4	ATXN10
Q9UBB5	MBD2
Q9UBC2	EPS15L1
Q9UBE0	SAE1
Q9UBF2	COPG2
Q9UBF6	RNF7
Q9UBG7	RBPJL
Q9UBL3	ASH2L
Q9UBN7	HDAC6
Q9UBP0	SPAST
Q9UBQ5	EIF3K
Q9UBQ7	GRHPR
Q9UBR2	CTSZ
Q9UBS0	RPS6KB2
Q9UBS4	DNAJB11
Q9UBT2	UBA2
Q9UBU9	NXF1
Q9UBV2	SEL1L
Q9UBV8	PEF1
Q9UBW8	COPS7A
Q9UBX7	KLK11
Q9UDT6	CLIP2
Q9UDY4	DNAJB4
Q9UER7	DAXX
Q9UEU0	VTI1B
Q9UEW8	STK39
Q9UEY8	ADD3
Q9UFN0	NIPSNAP3A
Q9UFW8	CGGBP1
Q9UG01	IFT172
Q9UG22	GIMAP2
Q9UG63	ABCF2
Q9UGI8	TES
Q9UGM5	FETUB
Q9UGP4	LIMD1
Q9UGP8	SEC63
Q9UGR2	ZC3H7B
Q9UGU0	TCF20
Q9UH17	APOBEC3B
Q9UH62	ARMCX3
Q9UH65	SWAP70
Q9UH99	SUN2
Q9UHA4	LAMTOR3
Q9UHB4	NDOR1
Q9UHB6	LIMA1
Q9UHB7	AFF4
Q9UHB9	SRP68
Q9UHC1	MLH3
Q9UHC6	CNTNAP2
Q9UHD1	CHORDC1
Q9UHD2	TBK1
Q9UHD8	SEPTIN9
Q9UHD9	UBQLN2
Q9UHG3	PCYOX1
Q9UHL4	DPP7
Q9UHQ4	BCAP29
Q9UHQ9	CYB5R1
Q9UHV9	PFDN2
Q9UHX1	PUF60
Q9UHY1	NRBP1
Q9UHY7	ENOPH1
Q9UI08	EVL
Q9UI09	NDUFA12
Q9UI12	ATP6V1H
Q9UI15	TAGLN3
Q9UI30	TRMT112
Q9UIA0	CYTH4
Q9UIB8	CD84
Q9UIC8	LCMT1
Q9UID3	VPS51
Q9UIG0	BAZ1B
Q9UII2	ATP5IF1
Q9UIJ7	AK3
Q9UIM3	FKBPL
Q9UIQ6	LNPEP
Q9UIS9	MBD1
Q9UJ41	RABGEF1
Q9UJ68	MSRA
Q9UJ70	NAGK
Q9UJC5	SH3BGRL2
Q9UJS0	SLC25A13
Q9UJU2	LEF1
Q9UJU6	DBNL
Q9UJW0	DCTN4
Q9UJX3	ANAPC7
Q9UJX4	ANAPC5
Q9UJY4	GGA2
Q9UJZ1	STOML2
Q9UK41	VPS28
Q9UK45	LSM7
Q9UK59	DBR1
Q9UK61	TASOR
Q9UK76	JPT1
Q9UK99	FBXO3
Q9UKD2	MRTO4
Q9UKE5	TNIK
Q9UKF6	CPSF3
Q9UKG1	APPL1
Q9UKJ3	GPATCH8
Q9UKK3	PARP4
Q9UKM9	RALY
Q9UKT4	FBXO5
Q9UKT5	FBXO4
Q9UKT9	IKZF3
Q9UKU7	ACAD8
Q9UKV3	ACIN1
Q9UKV8	AGO2
Q9UKW4	VAV3
Q9UKX2	MYH2
Q9UKX7	NUP50
Q9UKY7	CDV3
Q9UL03	INTS6
Q9UL15	BAG5
Q9UL17	TBX21
Q9UL25	RAB21
Q9UL26	RAB22A
Q9ULC4	MCTS1
Q9ULC5	ACSL5
Q9ULH0	KIDINS220
Q9ULH1	ASAP1
Q9ULJ7	ANKRD50
Q9ULL4	PLXNB3
Q9ULQ0	STRIP2
Q9ULU4	ZMYND8
Q9ULV4	CORO1C
Q9ULZ3	PYCARD
Q9UM07	PADI4
Q9UM22	EPDR1
Q9UMS0	NFU1
Q9UMS4	PRPF19
Q9UMX0	UBQLN1
Q9UMX5	NENF
Q9UMZ2	SYNRG
Q9UN19	DAPP1
Q9UN36	NDRG2
Q9UN37	VPS4A
Q9UN86	G3BP2
Q9UNE7	STUB1
Q9UNF0	PACSIN2
Q9UNF1	MAGED2
Q9UNK0	STX8
Q9UNL2	SSR3
Q9UNM6	PSMD13
Q9UNN5	FAF1
Q9UNP9	PPIE
Q9UNQ2	DIMT1
Q9UNS2	COPS3
Q9UNW9	NOVA2
Q9UNZ2	NSFL1C
Q9UNZ5	C19orf53
Q9UP83	COG5
Q9UPM8	AP4E1
Q9UPN3	MACF1
Q9UPN4	CEP131
Q9UPN7	PPP6R1
Q9UPQ9	TNRC6B
Q9UPT8	ZC3H4
Q9UPU5	USP24
Q9UPV0	CEP164
Q9UPY3	DICER1
Q9UPY8	MAPRE3
Q9UPZ9	CILK1
Q9UQ13	SHOC2
Q9UQ16	DNM3
Q9UQ35	SRRM2
Q9UQ80	PA2G4
Q9UQE7	SMC3
Q9UQN3	CHMP2B
Q9Y210	TRPC6
Q9Y224	RTRAF
Q9Y228	TRAF3IP3
Q9Y230	RUVBL2
Q9Y232	CDYL
Q9Y237	PIN4
Q9Y240	CLEC11A
Q9Y251	HPSE
Q9Y259	CHKB
Q9Y263	PLAA
Q9Y265	RUVBL1
Q9Y266	NUDC
Q9Y277	VDAC3
Q9Y281	CFL2
Q9Y294	ASF1A
Q9Y295	DRG1
Q9Y2A7	NCKAP1
Q9Y2D5	PALM2AKAP2
Q9Y2G8	DNAJC16
Q9Y2H0	DLGAP4
Q9Y2H1	STK38L
Q9Y2I8	WDR37
Q9Y2J2	EPB41L3
Q9Y2L1	DIS3
Q9Y2L5	TRAPPC8
Q9Y2L6	FRMD4B
Q9Y2L9	LRCH1
Q9Y2P8	RCL1
Q9Y2Q0	ATP8A1
Q9Y2Q3	GSTK1
Q9Y2Q5	LAMTOR2
Q9Y2Q9	MRPS28
Q9Y2R0	COA3
Q9Y2S2	CRYL1
Q9Y2S6	TMA7
Q9Y2T2	AP3M1
Q9Y2U5	MAP3K2
Q9Y2U8	LEMD3
Q9Y2V2	CARHSP1
Q9Y2V7	COG6
Q9Y2W1	THRAP3
Q9Y2W2	WBP11
Q9Y2X0	MED16
Q9Y2X3	NOP58
Q9Y2X7	GIT1
Q9Y2Y0	ARL2BP
Q9Y2Z0	SUGT1
Q9Y2Z4	YARS2
Q9Y303	AMDHD2
Q9Y305	ACOT9
Q9Y315	DERA
Q9Y324	FCF1
Q9Y333	LSM2
Q9Y336	SIGLEC9
Q9Y371	SH3GLB1
Q9Y376	CAB39
Q9Y383	LUC7L2
Q9Y385	UBE2J1
Q9Y394	DHRS7
Q9Y3A4	RRP7A
Q9Y3A6	TMED5
Q9Y3B3	TMED7
Q9Y3B4	SF3B6
Q9Y3B7	MRPL11
Q9Y3B8	REXO2
Q9Y3C4	TPRKB
Q9Y3C5	RNF11
Q9Y3C6	PPIL1
Q9Y3C8	UFC1
Q9Y3D2	MSRB2
Q9Y3D6	FIS1
Q9Y3E0	GOLT1B
Q9Y3E7	CHMP3
Q9Y3F4	STRAP
Q9Y3I0	RTCB
Q9Y3I1	FBXO7
Q9Y3L3	SH3BP1
Q9Y3L5	RAP2C
Q9Y3P9	RABGAP1
Q9Y3Q8	TSC22D4
Q9Y3T9	NOC2L
Q9Y3U8	RPL36
Q9Y3X0	CCDC9
Q9Y3Y2	CHTOP
Q9Y3Z3	SAMHD1
Q9Y450	HBS1L
Q9Y487	ATP6V0A2
Q9Y490	TLN1
Q9Y4A5	TRRAP
Q9Y4A8	NFE2L3
Q9Y4D1	DAAM1
Q9Y4E6	WDR7
Q9Y4E8	USP15
Q9Y4F3	MARF1
Q9Y4F9	RIPOR2
Q9Y4G6	TLN2
Q9Y4G8	RAPGEF2
Q9Y4H2	IRS2
Q9Y4H4	GPSM3
Q9Y4K3	TRAF6
Q9Y4L1	HYOU1
Q9Y4P3	TBL2
Q9Y4W2	LAS1L
Q9Y4W6	AFG3L2
Q9Y4X5	ARIH1
Q9Y508	RNF114
Q9Y512	SAMM50
Q9Y520	PRRC2C
Q9Y530	OARD1
Q9Y570	PPME1
Q9Y572	RIPK3
Q9Y5A9	YTHDF2
Q9Y5B0	CTDP1
Q9Y5B9	SUPT16H
Q9Y5E7	PCDHB2
Q9Y5J6	TIMM10B
Q9Y5J7	TIMM9
Q9Y5K6	CD2AP
Q9Y5K8	ATP6V1D
Q9Y5L4	TIMM13
Q9Y5M8	SRPRB
Q9Y5P6	GMPPB
